"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-defence-colony-south-delhi-5000-sq-ft-spid-B83471724","300000000","60000","5000","Defence Colony, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-green-park-south-delhi-5400-sq-ft-spid-K83815538","200000000","57142","3500","Green Park, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sda-south-delhi-1800-sq-ft-spid-R83815462","90000000","60000","1500","SDA, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-defence-colony-south-delhi-7800-sq-ft-spid-X83432208","300000000","38461","5000","Defence Colony, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-301-sq-ft-spid-I80838559","4600000","20000","230","Sector 12 Dwarka, Delhi, Delhi South West","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pratham-city-centre-sector-12-dwarka-delhi-400-sq-ft-r1-spid-C81286863","12500000","48076","260","Sector 12 Dwarka, Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-dev-nagar-central-delhi-2800-sq-ft-spid-W80898507","60000000","21428","2800","Dev Nagar, Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-east-of-kailash-south-delhi-1600-sq-ft-spid-V84028234","250000","156","1600","East of Kailash, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-old-rajinder-nagar-central-delhi-450-sq-ft-spid-R81354121","13500000","30000","450","Old Rajinder Nagar, Delhi, Central Delhi","Owner"
"Showroom","https://www.99acres.com/showroom-for-sale-in-vikas-marg-east-delhi-21160-sq-ft-spid-Q84171140","634800000","30000","21160","Vikas Marg, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-d-block-defence-colony-south-delhi-4500-sq-ft-r3-spid-M78658797","400000000","88888","4500","D Block Defence Colony, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-10800-sq-ft-r9-spid-B71487670","165000000","15277","10800","Naraina Industrial Area Phase 1, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-barakhamba-road-central-delhi-240-sq-ft-spid-K82808112","40000","166","240","Barakhamba Road, Delhi, Central Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-yusuf-sarai-south-delhi-2400-sq-ft-spid-R81506753","60000000","40000","1500","Yusuf Sarai, Delhi, South Delhi","Owner"
"Manufacturing business","https://www.99acres.com/manufacturing-unit-space-for-sale-in-mayapuri-industrial-area-phase-2-west-delhi-2700-sq-ft-spid-F82881948","46000000","17037","2700","Mayapuri Industrial Area Phase 2, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-15000-sq-ft-r4-spid-W75667247","280000000","18666","15000","Okhla Phase 3, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-lajpat-nagar-1-south-delhi-950-sq-ft-spid-G83737544","85000000","8947","900","Lajpat Nagar 1, Delhi, South Delhi","Dealer"
"Warehouse","https://www.99acres.com/warehouse-for-sale-in-kotla-mubarakpur-south-delhi-1800-sq-ft-spid-V82145802","19800000","11000","1800","Kotla Mubarakpur, Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-3-rohini-north-delhi-100-sq-ft-r1-spid-C80419171","6000000","66666","90","Sector 3 Rohini, Delhi, North Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-jasola-south-delhi-3000-sq-ft-spid-C83433552","67500000","22500","3000","Jasola, Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-3600-sq-ft-r12-spid-N58638318","120000000","33333","3600","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-25-sq-ft-r1-spid-W82270214","4000000","160000","25","Sector 19B Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-abw-rectangle-one-saket-south-delhi-3325-sq-ft-spid-N83002770","69800000","21000","3325","Saket, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-1000-sq-ft-spid-K83965860","100000000","100000","600","Sector 19B Dwarka, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-6-rohini-north-delhi-64-sq-ft-r1-spid-I80368589","5700000","101785","56","Sector 6 Rohini, Delhi, North Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-m-block-greater-kailash-1-rwa-greater-kailash-1-south-delhi-800-sq-ft-spid-R83386672","145000000","181250","800","Greater Kailash 1, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mg-road-south-delhi-3062-sq-ft-r1-spid-L55144456","80000000","40000","2000","MG Road, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-28000-sq-ft-r6-spid-X71731728","350000000","13461","26000","Okhla Phase 3, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-satya-niketan-south-delhi-900-sq-ft-spid-R82009068","27000000","30000","900","Satya Niketan, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-5500-sq-ft-spid-L82057826","385000","70","5500","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Dealer"
