"Property Type","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Highlights"
"Hotel / Resort for sale in Aerocity, Delhi","","","108900","Aerocity, Delhi, South Delhi","North-East Facing, Air Conditioned, A five star hotel for sale in aerocity , near airport south delhi . Total no. Of floors is 5, no of rooms 400 approx with restaurant, bar, swimming pool, gym, spa, salon, sauna, banquet hall, conference room etc.., plot area- 2.5 acre, hotel is running at optimum performance level and almost 90% occupancy level. Super prime location 5 star luxury property of south delhi. You will find yourself ..."
"Commercial property in Sector 19 Dwarka, Delhi","9000000","4762","1890","Sector 19 Dwarka, Delhi, Delhi South West","Dwarka sector 10 within 1km, St marry school within 250m, For sale basement corner dwarka sector 19 excellent location ready to move suitable for office space , ca office separate entry"
"Ready to move Office Space for sale in Block A Meera Bagh, Delhi","5500000","27500","200","Block A Meera Bagh, Delhi, West Delhi","A spacious and well-Designed ready to move office space is available in block a meera bagh, west delhi for sale. This office space is inside the it park, in the commercial zone. This commercial property boasts of 2 seats as minimum capacity and accommodates 1 cabin and has 2 meeting rooms. The property is equipped with 1 shared bathroom. It has a conference room and a well-Designed reception ar..."
"Showroom for sale in Sadar Bazar, Delhi","120000000","177778","675","Sadar Bazar, Delhi","Showroom building available for sale on main road in worlds biggest wholesale market, sadar bazaar, delhi6. Whole independent building which is basement, ground, first and second built is available for sale. Ample parking space is there on road."
"Ready to move Office Space for sale in Pushp Vihar, Delhi","180000000","27692","6500","Pushp Vihar, Delhi, South Delhi","Equitable mortgage of commercial unit measuring 9467 sq.Ft situated at 5th floor(Lot no v), tower 3 in nbcc plaza, pushp vihar, saket, (Near saket court), new delhi owned by m/s anagi constructions (p) ltd"
"Commercial property in Pushp Vihar, Delhi","180000000","19013","6500","Pushp Vihar, Delhi, South Delhi","Equitable mortgage of commercial unit measuring 9467 sq.Ft situated at 5th floor (Lot no iv), tower 2 in nbcc plaza, pushp vihar, saket, (Near saket court) new delhi owned by m/s anagi constructions (p) ltd"
"Bare shell Office Space for sale in Saket, Delhi","15000000","13043","1150","Saket, Delhi, South Delhi","saket within 500m, PVR saket Nearby, Check out this bare shell office space for sale in saket, delhi south. This spacious property has a super built up area of 1150 sq.Ft. This office property is in the commercial zone. The office has cemented walls with 1 private bathroom. The space has marble flooring with oxygen duct and central air conditioning. The space has fire safety measures such as fire hose and sprinklers. The building ..."
"Ready to move Office Space for sale in Pocket B Mayur Vihar Phase 2, Delhi","6500000","18571","350","Pocket B Mayur Vihar Phase 2, Delhi, East Delhi","East vinod nagar mayur vihar2 Nearby, Check out this ready to move office space for sale in pocket b mayur vihar phase 2, east delhi. It comes under the commercial zone. The carpet area of the property is 350 sq.Ft. It has a minimum seating of 1 seat, 1 cabin and 1 meeting room. There are 4 total floors in the building. It has public parking. The building is aged 5-10 years. You can get this office space for 65 lac with freehold ow..."
"Bare shell Office Space for sale in Okhla, Delhi","220000000","104712","2101","Okhla, Delhi","Discover premium office spaces at godrej south estate, okhla phase 1, designed for modern businesses seeking luxury and functionality. Spanning 2101 sq. Ft., this meticulously planned workspace offers a sophisticated environment with state-Of-The-Art amenities, fostering productivity and success. Strategically located, it ensures seamless connectivity to delhi's prime business hubs and excellen..."
"Commercial plot / Land for sale in Sector 22 Rohini, Delhi","42900000","53333","900","Sector 22 Rohini, Delhi, North Delhi","Rain Water Harvesting, Power Back-up, Commercial space available for sale main road opp agrasen collage."
