"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","11000000","28947.37","380","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30832/9/616649455M-1751973064583.jpg,https://imagecdn.99acres.com/media1/30832/0/616640973M-1751973069283.jpg,https://imagecdn.99acres.com/media1/30832/1/616641341M-1751973045493.jpg,https://imagecdn.99acres.com/media1/30832/1/616641045M-1751973045016.jpg,https://imagecdn.99acres.com/media1/30832/9/616649397M-1751973064704.jpg,https://imagecdn.99acres.com/media1/30832/9/616649405M-1751973069888.jpg,https://imagecdn.99acres.com/media1/30832/9/616649409M-1751973068855.jpg,https://imagecdn.99acres.com/media1/30832/9/616649413M-1751973063125.jpg,https://imagecdn.99acres.com/media1/30832/9/616649419M-1751973069057.jpg,https://imagecdn.99acres.com/media1/30832/9/616649447M-1751973083113.jpg,https://imagecdn.99acres.com/media1/30832/9/616649507M-1751973067206.jpg,https://imagecdn.99acres.com/media1/30832/9/616649431M-1751973073720.jpg,https://imagecdn.99acres.com/media1/30832/9/616649435M-1751973068306.jpg,https://imagecdn.99acres.com/media1/30832/9/616649491M-1751973070685.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","10600000","29120.88","364","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30831/2/616622311M-1751970631465.jpg,https://imagecdn.99acres.com/media1/30831/2/616622333M-1751970635672.jpg,https://imagecdn.99acres.com/media1/30831/2/616622469M-1751970635963.jpg,https://imagecdn.99acres.com/media1/30831/2/616622475M-1751970634883.jpg,https://imagecdn.99acres.com/media1/30831/2/616622479M-1751970631060.jpg,https://imagecdn.99acres.com/media1/30831/2/616622485M-1751970631339.jpg,https://imagecdn.99acres.com/media1/30831/2/616622495M-1751970631641.jpg,https://imagecdn.99acres.com/media1/30831/2/616622511M-1751970631393.jpg,https://imagecdn.99acres.com/media1/30831/2/616622525M-1751970630908.jpg,https://imagecdn.99acres.com/media1/30831/2/616622289M-1751970631735.jpg,https://imagecdn.99acres.com/media1/30831/2/616622437M-1751970636695.jpg,https://imagecdn.99acres.com/media1/30831/2/616622421M-1751970631540.jpg,https://imagecdn.99acres.com/media1/30831/2/616622299M-1751970666523.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","20100000","30000","670","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30556/11/611131881M-1750765838792.jpg,https://imagecdn.99acres.com/media1/30556/11/611131847M-1750765826581.jpg,https://imagecdn.99acres.com/media1/30556/11/611131835M-1750765827663.jpg,https://imagecdn.99acres.com/media1/30556/11/611131791M-1750765827653.jpg,https://imagecdn.99acres.com/media1/30556/11/611131857M-1750765842902.jpg,https://imagecdn.99acres.com/media1/30556/11/611131865M-1750765824224.jpg,https://imagecdn.99acres.com/media1/30556/11/611131869M-1750765827729.jpg,https://imagecdn.99acres.com/media1/30556/11/611131953M-1750765827893.jpg,https://imagecdn.99acres.com/media1/30556/11/611131911M-1750765832185.jpg,https://imagecdn.99acres.com/media1/30556/12/611132235M-1750765827099.jpg,https://imagecdn.99acres.com/media1/30556/12/611132257M-1750765831933.jpg,https://imagecdn.99acres.com/media1/30556/11/611131773M-1750765827150.jpg,https://imagecdn.99acres.com/media1/30556/12/611132275M-1750765832910.jpg,https://imagecdn.99acres.com/media1/30556/12/611132297M-1750765827248.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","10900000","27455.92","397","Office Space","Netaji Subhash Place, Delhi","Ready to move","https://imagecdn.99acres.com/media1/30553/6/611066593M-1750759245577.jpg,https://imagecdn.99acres.com/media1/30553/6/611066127M-1750759242150.jpg,https://imagecdn.99acres.com/media1/30553/6/611066159M-1750759220305.jpg,https://imagecdn.99acres.com/media1/30553/6/611066307M-1750759232536.jpg,https://imagecdn.99acres.com/media1/30553/6/611066385M-1750759229002.jpg,https://imagecdn.99acres.com/media1/30553/5/611065871M-1750759265002.jpg,https://imagecdn.99acres.com/media1/30553/6/611066527M-1750759226351.jpg,https://imagecdn.99acres.com/media1/30553/6/611066503M-1750759228000.jpg,https://imagecdn.99acres.com/media1/30553/6/611066773M-1750759243338.jpg,https://imagecdn.99acres.com/media1/30553/6/611066701M-1750759224960.jpg,https://imagecdn.99acres.com/media1/30553/6/611066693M-1750759266200.jpg"
"Ready to move Office Space for sale in Sector 14 Dwarka, Delhi","","46000000","48421.05","950","Office Space","Sector 14 Dwarka, Delhi","Ready to move","https://imagecdn.99acres.com/media1/29940/6/598806983M-1747995226275.jpg"
"Commercial plot / Land for sale in Block D Krishna Nagar, Delhi","","230000000","109680.59","2097","Commercial plot / Land","Block D Krishna Nagar, Delhi","",""
"Ready to move Office Space for sale in Moti Nagar, Delhi","","42500000","34000","1250","Office Space","Moti Nagar, Delhi","Ready to move","https://imagecdn.99acres.com/media1/31014/7/620287667M-1752751788632.jpg"
"Ready to move Office Space for sale in Moti Nagar, Delhi","","19300000","39876.03","484","Office Space","Moti Nagar, Delhi","Ready to move","https://imagecdn.99acres.com/media1/31005/8/620108551M-1752738224151.jpg"
"Shop for sale in Block 4 Ramesh Nagar, Delhi","","11000000","36666.67","300","Shop","Block 4 Ramesh Nagar, Delhi","","https://imagecdn.99acres.com/media1/29414/12/588292531M-1745068445868.jpg,https://imagecdn.99acres.com/media1/29414/12/588292537M-1745068144869.jpg"
"Shop for sale in Paschim Vihar, Delhi","","40000000","18365.47","2178","Shop","Paschim Vihar, Delhi","","https://imagecdn.99acres.com/media1/16061/5/321225355M-1741599183164.jpg"
