area_type,prop_type,transaction,location,Super Area,Status,Property Age,Zoning,Carpet Area,Washroom,Parking,Pantry,Overlooking,Floor,Entrance,Furnishing Status,Plot Area,Plot (L X B),Facing,Available From,Width of Road,Open Sides,ParkingRatio,Water Availability,Hospital,Seats,price_std,area_std,location_cleaned,latitude,longitude
Super Area,office space,sale,crossings republik ghaziabad,475 sqft,Ready to Move,,,,,,,,4 out of 4,,Furnished,,,,,,,,,,,4500000.0,475.0,crossings republik ghaziabad,28.6284686,77.434157
Carpet Area,office space,sale,"ghantaghar, naya ganj ghaziabad",,Ready to Move,Above 20 years old,,135 sqft,2,,,,1 out of 2,,Bareshell,,,,,,,,,,,1500000.0,135.0,naya ganj ghaziabad,28.7749966,77.4586967
Super Area,shop,sale,"vigyan vihar, surajmal vihar new delhi",150 sqft,Ready to Move,,,,,,,,Ground out of 2,,Unfurnished,,,,,,,,,,,4500000.0,150.0,surajmal vihar new delhi,28.5583962,77.171675
Super Area,office space,sale,"vatika mindscape, sector 27d faridabad",500 sqft,Ready to Move,,,,3,,,,3 out of 9,,Bareshell,,,,,,,,,,,3500000.0,500.0,sector 27d faridabad,28.4814327,77.302992
Carpet Area,office space,sale,"uday park, south extension new delhi",,Ready to Move,,,1550 sqft,2,,Wet Pantry/Cafeteria,,Upper Basement out of 4,,Bareshell,,,,,,,,,,,20000000.0,1550.0,south extension new delhi,28.5677958,77.2246313
Super Area,office space,sale,mahurali ghaziabad,181 sqft,Ready to Move,Less than 5 years old,,,,2 Covered,,,,,Furnished,,,,,,,,,,,2000000.0,181.0,mahurali ghaziabad,28.7749966,77.4586967
Super Area,office space,sale,dilshad colony new delhi,1800 sqft,Ready to Move,10 to 15 years old,,,4,,,,Ground out of 4,,Furnished,,,,,,,,,,,80000000.0,1800.0,dilshad colony new delhi,28.6328027,77.2197713
Carpet Area,office space,sale,"kotla mubarakpur, south extension new delhi",,Ready to Move,,,2200 sqft,3,,,Main Road,2 out of 4,,Furnished,,,,,,,,,,,25000000.0,2200.0,south extension new delhi,28.5677958,77.2246313
Super Area,shop,sale,"spectrum metro phase 2, sector 75 noida",280 sqft,Ready to Move,New Construction,,,,,,,2 out of 5,,Unfurnished,,,,,,,,,,,3700000.0,280.0,sector 75 noida,28.4716932,77.5313411
Carpet Area,office space,sale,shakarpur new delhi,,Ready to Move,,,500 sqft,1,,Dry Pantry/Cafeteria,,2 out of 3,,Furnished,,,,,,,,,,,3100000.0,500.0,shakarpur new delhi,28.63739,77.270725
Plot Area,land,sale,swaroop nagar road new delhi,,,,,,,,,,,,,1818 sqft,,,,,,,,,,16399999.0,1818.0,swaroop nagar road new delhi,28.6328027,77.2197713
Super Area,shop,sale,"gaur world smartstreet, noida extension greater noida",280 sqft,Ready to Move,,,,,,,,7 out of 7,,Unfurnished,,,,,,,,,,,5800000.0,280.0,noida extension greater noida,28.5706333,77.3272147
Super Area,shop,sale,sector 83 gurgaon,407 sqft,Ready to Move,,,,,,,,1 out of 14,,Unfurnished,,,,,,,,,,,12200000.0,407.0,sector 83 gurgaon,28.3981087,76.9732873
Super Area,shop,sale,"omaxe chowk, roshanpura chandni chowk new delhi",502 sqft,Ready to Move,5 to 10 years old,,,,,,,Ground out of 2,,Unfurnished,,,,,,,,24 Hours Available,,,100399999.0,502.0,roshanpura chandni chowk new delhi,28.6328027,77.2197713
Super Area,industrial building,sale,a block new delhi,400 sqyrd,,,,,,,,,,,,,,,,,,,,,,67500000.0,3600.0,a block new delhi,28.5522406,77.1625995
Carpet Area,shop,sale,"spj vedatam, sector 14 gurgaon",,Possession by Jun '27,,,600 sqft,,,,,Ground out of 4,,Unfurnished,,,East,Jun '27,,,,,,,69000000.0,600.0,sector 14 gurgaon,28.473784,77.0471827
Carpet Area,shop,sale,"m3m urbana premium, sector 67 gurgaon",,Ready to Move,Less than 5 years old,,540 sqft,,,,,1 out of 6,,Unfurnished,,,,,,,,,,,10000000.0,540.0,sector 67 gurgaon,28.3864052,77.0598046
Carpet Area,office space,sale,"hemkunt chamber, nehru place new delhi",,Ready to Move,,,3567 sqft,2,,Wet Pantry/Cafeteria,,9 out of 13,,Furnished,,,,,,,,,,,66200000.0,3567.0,nehru place new delhi,28.6074919,77.2173414
Carpet Area,office space,sale,sector 48 gurgaon,,Ready to Move,5 to 10 years old,,297 sqft,2,,,,10 out of 11,,Furnished,,,,,,,,,,,4600000.0,297.0,sector 48 gurgaon,28.4104903,77.0394627
Super Area,shop,sale,sector 16 rohini new delhi,80 sqft,Ready to Move,,,,,,,,Ground out of 4,,Unfurnished,,,,,,,,,,,3000000.0,80.0,sector 16 rohini new delhi,28.7129004,77.1379334
Super Area,shop,sale,ashram new delhi,300 sqft,Ready to Move,,,,,,,,Ground out of 4,,Furnished,,,,,,,,,,,15000000.0,300.0,ashram new delhi,28.6392436,77.2085787
Super Area,office space,sale,arya nagar daulatpura ghaziabad,11,,,,,,,,,,,,,,,,,,,,,,65000000.0,11000.0,arya nagar daulatpura ghaziabad,28.7749966,77.4586967
Plot Area,land,sale,model town sector 11 gurgaon,,,,,,,,,,,,,3150 sqft,,,,,,,,,,122600000.0,3150.0,model town sector 11 gurgaon,28.4646148,77.0299194
Carpet Area,office space,sale,"satya the hive, sector 102 gurgaon",,Ready to Move,,,356 sqft,2,,Wet Pantry/Cafeteria,Main Road,,,,,,East,,,,,,,,9000000.0,356.0,sector 102 gurgaon,28.4754872,76.9711747
Carpet Area,shop,sale,uttam nagar new delhi,,,,,821 sqft,,,,,2 out of 3,,Unfurnished,,,,,,,,,,,5500000.0,821.0,uttam nagar new delhi,28.6088003,77.0673956
Super Area,industrial shed,sale,okhla phase 3 new delhi,5000 sqft,,,,,,,,,,,,,,,,,,,,,,170000000.0,5000.0,okhla phase 3 new delhi,28.5470861,77.3135343
Super Area,shop,sale,"m3m corner walk, sector 74, delhi gurgaon expressway gurgaon",731 sqft,Ready to Move,,,,,,,,1 out of 4,,Unfurnished,,,,,,,,,,,11000000.0,731.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Carpet Area,office space,sale,"masihgarh, okhla new delhi",,,,,800 sqft,1,,,,,,,,,,,,,,,,,4890000.0,800.0,okhla new delhi,28.6250585,77.2172811
Super Area,warehouse/ godown,sale,new panchwati colony ghaziabad,190 sqyrd,Ready to Move,Above 20 years old,,,,,,,Ground out of 2,,Unfurnished,,,,,15 mts,,,,,,12500000.0,1710.0,new panchwati colony ghaziabad,28.6471374,77.4430913
Super Area,shop,sale,"elan town centre, badshahpur gurgaon",125 sqft,Ready to Move,New Construction,,,,,,,3 out of 4,,Unfurnished,,,,,,,,,,,4500000.0,125.0,badshahpur gurgaon,28.3932757,77.0484201
Carpet Area,showroom,sale,block a dashrath puri new delhi,,Ready to Move,5 to 10 years old,,2900 sqft,,,,,Ground out of 4,,Unfurnished,,,,,,,,,,,95000000.0,2900.0,block a dashrath puri new delhi,28.6328027,77.2197713
Super Area,shop,sale,"rof galleria 92, sector 92 gurgaon",259 sqft,Ready to Move,,,,,,,,1 out of 1,,Unfurnished,,,,,,,,,,,4850000.0,259.0,sector 92 gurgaon,28.4089049,76.9155232
Super Area,shop,sale,shalimar bagh new delhi,150 sqft,Ready to Move,,,,,,,,Ground out of 1,,Furnished,,,,,,,,,,,4000000.0,150.0,shalimar bagh new delhi,28.7096432,77.1691744
Plot Area,land,sale,lal bagh colony ghaziabad,,,,,,,,,,,,,1800 sqft,,,,,,,,,,12500000.0,1800.0,lal bagh colony ghaziabad,28.7749966,77.4586967
Carpet Area,office space,sale,gautam budh nagar greater noida,,Ready to Move,,,250 sqft,1,1 Covered,,,2 out of 2,,Furnished,,,,,,,,,,,5500000.0,250.0,gautam budh nagar greater noida,28.4610024,77.4630568
Super Area,office space,sale,"bhutani avenue 133, sector 133, noida express way noida",225 sqft,,,,,1,,,Garden/Park,1 out of 3,,,,,,,,,,,,,3300000.0,225.0,noida express way noida,28.5706333,77.3272147
Carpet Area,shop,sale,"bhutani cyberthum, sector 140a noida",,Ready to Move,,,400 sqft,,1 Covered,,,Ground out of 42,,Unfurnished,,,,,,,,24 Hours Available,,,12400000.0,400.0,sector 140a noida,28.5097759,77.4211609
Super Area,warehouse/ godown,sale,mahipalpur new delhi,135 sqyrd,,,,,,,,,Ground out of 1,,,,,,,,,,,,,33000000.0,1215.0,mahipalpur new delhi,28.5444849,77.1256912
Super Area,shop,sale,sector 3 vaishali ghaziabad,600 sqft,,,,,,,,,Ground out of 4,,Unfurnished,,,,,,,,,,,9500000.0,600.0,sector 3 vaishali ghaziabad,28.6471629,77.3346949
Super Area,office space,sale,galaxy blue sapphire greater noida,595 sqft,Ready to Move,,,,2,,,,10 out of 20,,Furnished,,,,,,,,,,,6000000.0,595.0,galaxy blue sapphire greater noida,28.5706333,77.3272147
Carpet Area,shop,sale,saviour green arch greater noida,,Ready to Move,Less than 5 years old,,460 sqft,,,,,Ground out of 1,,Semi-Furnished,,,,,,,,,,,22000000.0,460.0,saviour green arch greater noida,28.5706333,77.3272147
Super Area,shop,sale,sector 71 gurgaon,707 sqft,Ready to Move,,,,,,,,1 out of 8,,Furnished,,,,,,,,,,,14500000.0,707.0,sector 71 gurgaon,28.4064564,77.0233125
Plot Area,industrial land,sale,industrial area surajpur site 4 greater noida,,,,,,,,,,,,,7750 sqft,,,,,,,,,,5500000.0,7750.0,industrial area surajpur site 4 greater noida,28.5706333,77.3272147
